City,Year,PM2.5 (µg/m³),SmartCity,EV,GreenCover,PopulationDensity,AT (°C),RH (%),WS (m/s),RF (mm)
Pune,2023,65.26252842051392,0.0,79152,1716.95,109.82,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Pune,2024,43.924407713498624,0.0,93048,1716.95,109.82,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Pune,2025,61.958513513513516,0.0,97352,1716.95,109.82,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Rajkot,2017,48.384498256863054,0.0,7,60.07,357.07,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Sagar,2017,48.384498256863054,0.0,6,2713.63,175.26,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Sagar,2018,48.384498256863054,0.0,7,2713.63,175.26,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Sagar,2019,48.384498256863054,0.0,15,2713.63,175.26,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Sagar,2020,48.384498256863054,0.0,22,2713.63,175.26,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Sagar,2021,48.384498256863054,0.0,181,2713.63,175.26,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Sagar,2022,62.781230769230774,0.0,1070,2713.63,175.26,22.813484848484848,35.21636363636364,0.5557575757575758,0.019393939393939394
Sagar,2023,36.21191233034561,0.0,3039,2713.63,175.26,25.043483522346413,49.091202990385014,0.66317484899421,0.020111120604541646
Sagar,2024,43.46751366120219,0.0,4686,2713.63,175.26,25.184590163934423,48.28205479452055,0.5468579234972678,0.011612021857923498
Sagar,2025,41.218815426997246,0.0,5120,2713.63,175.26,23.74041095890411,53.88999999999999,0.5144505494505495,0.019808219178082193
Salem,2017,48.384498256863054,0.0,0,1490.52,288.81,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Salem,2018,48.384498256863054,0.0,6,1490.52,288.81,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Salem,2019,48.384498256863054,0.0,28,1490.52,288.81,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Salem,2020,48.384498256863054,0.0,55,1490.52,288.81,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Salem,2021,48.384498256863054,0.0,226,1490.52,288.81,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Salem,2022,28.842641509433964,0.0,633,1490.52,288.81,26.454205607476634,74.40046728971963,0.9899065420560748,0.02287671232876712
Salem,2023,29.28320621927021,0.0,1243,1490.52,288.81,28.6026395772407,58.697097564668205,1.2279385647467247,0.02287671232876712
Salem,2024,28.173274336283185,0.0,1640,1490.52,288.81,29.171413043478264,52.2082962962963,1.2857246376811595,0.02287671232876712
Salem,2025,30.542298507462686,0.0,1764,1490.52,288.81,28.311281337047355,53.12903133903134,1.2142061281337047,0.02287671232876712
Shillong,2017,48.384498256863054,1.0,0,1754.5,193.37,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Shillong,2018,48.384498256863054,1.0,2,1754.5,193.37,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Shillong,2019,48.384498256863054,1.0,3,1754.5,193.37,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Shillong,2020,48.384498256863054,1.0,3,1754.5,193.37,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Shillong,2021,48.384498256863054,1.0,13,1754.5,193.37,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Shillong,2022,19.59282894736842,1.0,59,1754.5,193.37,20.434941860465116,84.09226744186047,0.6694186046511628,0.15040462427745666
Shillong,2023,31.101842071269864,1.0,255,1754.5,193.37,18.951933499537873,82.54093409296591,0.5500346002853627,0.09295328600390218
Shillong,2024,48.97153846153846,1.0,487,1754.5,193.37,11.382941176470588,77.63382352941177,0.505,0.0033587786259541984
Shillong,2025,48.47779874213837,1.0,596,1754.5,193.37,21.1175,61.89875,0.57625,0.0012365591397849461
Surat,2017,48.384498256863054,0.0,11,495.86,509.47,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Surat,2018,48.384498256863054,0.0,108,495.86,509.47,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Surat,2019,48.384498256863054,0.0,256,495.86,509.47,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Surat,2020,48.384498256863054,0.0,544,495.86,509.47,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Surat,2021,48.384498256863054,0.0,6959,495.86,509.47,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Surat,2022,110.60237288135593,0.0,31726,495.86,509.47,26.59915254237288,55.903898305084745,1.4322033898305084,0.01677966101694915
Surat,2023,57.424064530572956,0.0,52867,495.86,509.47,28.737943259094806,65.69794264273432,1.4922814336502175,0.3531053494178724
Surat,2024,33.57535410764873,0.0,58893,495.86,509.47,28.986214689265537,69.9654802259887,1.4163276836158192,1.8737465564738292
Surat,2025,30.66735294117647,0.0,60037,495.86,509.47,28.775235294117646,68.50626470588236,1.4562941176470587,1.2589442815249268
Visakhapatnam,2017,43.56915662650602,0.0,4,272.45,119.81,24.921437125748504,67.30213414634146,1.575030303030303,0.022336956521739133
