City,Year,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),EV,GreenCover,PopulationDensity
Indore,2022,42.7985,121.50291208791208,17.460630136986303,60.794657534246575,46.36317808219179,22.625506849315066,15.17446575342466,1.0353731343283583,44.66304945054945,,,,,,,25.882,55.22476712328768,1.2771232876712328,196.4693424657534,0.0423013698630137,4.0638356164383564,221.79186301369862,702.3989175257733,,14821,661.52,399.67
Indore,2023,43.6416584933201,110.4255683250862,19.752149113401778,50.84047310093171,43.07635433519071,17.875051371759763,14.713771417109742,1.4667292250780422,42.04309215880962,,,,,,,25.634035944571124,60.19782823177817,1.1222238551627683,197.30454314024422,0.04097981903346653,0.038784246575342456,217.761009835342,703.0418735905441,,30582,661.52,399.67
Indore,2024,51.762950819672135,114.88748633879781,12.549863387978142,61.995382513661205,43.189918032786885,17.595546448087433,13.079699453551912,1.508224043715847,46.70549180327868,,,,,,,25.775437158469945,61.66131147540984,0.8129508196721312,192.45513661202187,0.03240437158469945,0.03240437158469945,221.54551912568306,702.6754310344828,,39235,661.52,399.67
Indore,2025,49.536291208791205,117.58453296703296,20.66304945054945,68.62186813186814,53.443461538461534,23.697307692307692,11.308983516483517,1.1701923076923078,38.315796703296705,,,,,,,25.338076923076922,62.354532967032966,0.8687362637362638,194.09112637362637,0.035412087912087914,3.294246575342466,218.7842307692308,702.4158149779735,,42868,661.52,399.67
Jaipur,2017,71.98102040816327,180.62653061224492,16.566530612244897,25.281020408163265,32.59131578947368,29.256530612244898,8.57,1.1842857142857144,56.660000000000004,6.68,10.34057142857143,,,3.0575555555555556,8.868444444444444,24.6725,23.63608695652174,0.630759493670886,145.08746835443037,0.0,0.0,283.7948936170213,750.898085106383,,45,564.58,700.13
Jaipur,2018,50.347095890410955,148.03498630136986,15.31021978021978,32.082609890109886,46.99887362637363,18.232115384615383,9.233479452054794,0.9229315068493151,48.25167123287672,1.3993150684931508,,,,0.43926027397260275,1.2818356164383562,,,1.059041095890411,170.48693150684932,0.4601960784313726,0.06591780821917809,,757.1231232876712,,578,564.58,700.13
Jaipur,2019,36.571479452054795,100.87482191780822,9.793205479452055,35.108602739726024,44.88835616438356,25.320684931506847,10.540767123287672,0.9629315068493152,51.452,1.5342739726027397,,,,0.40197802197802196,1.418931506849315,,,1.601456043956044,150.19557692307694,,0.0,,741.209532967033,,832,564.58,700.13
Jaipur,2020,37.80814207650273,87.96489071038252,9.223688524590164,33.02213114754098,42.1264480874317,43.9079781420765,10.662568306010929,0.872896174863388,50.67139344262295,2.3530601092896175,,,,0.8128895184135977,2.66724043715847,,,1.5368579234972677,153.0787431693989,,0.0,,730.085300546448,,1864,564.58,700.13
Jaipur,2021,55.79841095890411,106.05090410958904,9.24358904109589,35.42887671232877,44.54323287671233,40.64493150684931,12.555726027397261,0.9707123287671233,48.295095890410956,3.301534246575342,,,,1.071388888888889,2.1207714285714285,24.591351351351353,,1.5307671232876712,155.94569863013697,0.012027027027027027,0.4454794520547945,,729.7381643835616,,7626,564.58,700.13
Jaipur,2022,51.51613698630137,107.87838356164384,11.227205479452056,40.91098630136987,51.8671506849315,39.17487671232877,11.879835616438356,0.8274520547945206,43.89695890410959,3.116164383561644,,,,1.4915438596491226,4.904249291784702,26.42964383561644,,1.4472876712328766,161.64068493150685,0.02287671232876712,2.115068493150685,,728.6262191780822,,25613,564.58,700.13
Jaipur,2023,51.41398822575198,104.48458017054807,10.833685470432137,40.19038662150278,50.8404398391551,43.58507600437771,13.902004222664177,0.8627678716950586,49.791454715487646,2.8616090756319763,,,,1.2672049935203105,7.960966430332193,25.688009806380435,,1.2533762387758896,149.95870378703003,0.02288682467687827,0.022111872146118716,,729.0306840728247,,44716,564.58,700.13
Jaipur,2024,48.89625683060109,98.16696721311476,11.153551912568306,37.972896174863386,49.070874316939886,28.204945355191256,12.732131147540983,0.8200273224043716,40.167868852459016,4.024562841530055,,,,1.795327380952381,5.110030769230769,26.11853591160221,,1.3737292817679558,141.02395027624308,0.033867403314917124,0.03300546448087432,,728.3568784530387,,53136,564.58,700.13
Jaipur,2025,50.272231404958674,96.01308539944904,18.43236914600551,36.95661157024794,55.251900826446274,41.71068870523416,16.80487603305785,1.0352617079889808,39.753774104683195,4.563140495867769,,,,3.093342541436464,4.939558011049724,25.765308988764048,,1.149494382022472,126.1913202247191,0.019241573033707868,1.7780821917808218,,727.6272752808989,,55259,564.58,700.13
Kochi,2017,,,,,,,,,,,,,,,,,,,,,0.0,,,,5,0.93,142.92
Kochi,2018,,,,,,,,,,,,,,,,,,,,,0.0,,,,40,0.93,142.92
Kochi,2019,,,,,,,,,,,,,,,,,,,,,0.0,,,,92,0.93,142.92
Kochi,2020,29.098205980066442,55.59784126984127,50.15603833865815,10.7826213592233,47.53546031746032,5.7456565656565655,12.922349206349207,1.4859365079365079,3.853428571428571,0.0,0.0017460317460317462,,,0.03333333333333333,0.014166666666666668,,75.0694055944056,0.7268881118881119,3.382902097902098,0.43153846153846154,30.898360655737704,289.7992675159236,,,172,0.93,142.92
Kochi,2021,30.19887671232877,53.950879120879115,37.196657534246576,10.632027397260273,40.21920547945206,6.51972602739726,8.195342465753425,0.907917808219178,6.40421052631579,0.0,0.0,,,,,,,,,,0.0,221.73724517906334,,,876,0.93,142.92
Kochi,2022,64.46863372093023,82.67311239193083,31.434610951008644,17.165533141210375,33.64146974063401,9.093246376811594,5.761788856304985,0.9842939481268012,3.7978840579710145,0.0,0.0,,,,,,,,,,0.0,247.4469740634006,,,3237,0.93,142.92
Kochi,2023,35.628492605566684,78.44907204661618,29.608686352468222,8.759114716382259,28.614868019515377,14.689060476189034,19.068755831706635,1.2266387947103625,1.7701124162954862,0.0,0.0,,,,,,,,,,0.0,252.52710824195194,,,6443,0.93,142.92
Kochi,2024,39.313750000000006,90.37232142857144,6.753,2.6582142857142856,0.20660714285714285,12.186071428571427,5.868181818181818,1.164642857142857,,0.0,0.0,,,,,,,,,,0.0,251.6625,,,8206,0.93,142.92
Kochi,2025,,,,,,,,,,,,,,,,,,,,,0.0,,,,8951,0.93,142.92
Kozhikode,2017,,,,,,,,,,,,,,,,,,,,,0.0,,,,3,1882.06,52.8
Kozhikode,2018,,,,,,,,,,,,,,,,,,,,,0.0,,,,13,1882.06,52.8
Kozhikode,2019,,,,,,,,,,,,,,,,,,,,,0.0,,,,67,1882.06,52.8
Kozhikode,2020,21.070762463343108,45.14313782991202,18.313274853801172,12.71406432748538,28.1906432748538,3.8754385964912283,2.97640350877193,0.5070760233918128,5.5691228070175445,,,,,,,,74.74956140350876,1.203859649122807,203.89377192982457,0.0,0.0,,,,174,1882.06,52.8
Kozhikode,2021,19.209226519337015,53.79983425414365,26.429447513812153,14.598784530386741,33.68596685082873,4.0617955801104975,4.159723756906077,0.7564088397790055,8.183480662983426,,,,,,,,75.90378453038673,1.0993370165745855,200.38527624309393,0.0,0.0,,,,713,1882.06,52.8
Kozhikode,2022,35.89177325581395,65.12367346938775,53.80345930232558,16.496627906976745,53.14261627906977,4.600988372093023,5.817122093023255,0.7045639534883721,10.13968023255814,,,,,,,,75.04927325581396,1.1649127906976744,187.9764534883721,0.0,0.0,,,,2954,1882.06,52.8
Kozhikode,2023,44.8546739227208,59.0,81.2226250663176,9.495460178179778,69.53233732430652,185.36878215168315,10.718011363128173,0.8433608062038992,7.579143057543707,,,,,,,,67.97755883805783,1.0916927759211172,195.15862160823366,0.0,0.0,,,,7394,1882.06,52.8
Kozhikode,2024,,,,,,,,,,,,,,,,,,,,,0.0,,,,9108,1882.06,52.8
Kozhikode,2025,,,,,,,,,,,,,,,,,,,,,0.0,,,,9836,1882.06,52.8
Ludhiana,2017,73.46121951219511,154.01582822085888,39.14007407407407,44.363440000000004,115.91380952380952,57.00021739130435,3.3854135338345865,0.6148701298701299,15.587006369426751,3.03062893081761,3.747388535031847,6.765454545454546,,,,,60.026526946107786,0.44358208955223877,187.73455696202532,,,157.6578947368421,,,0,47.57,109.48
Ludhiana,2018,51.491685082872934,113.86316804407714,14.555509554140128,17.70439093484419,27.62386292834891,18.768413597733712,9.527507788161994,0.6530538922155689,13.996141975308642,3.923827160493827,8.775123456790123,,,,,,70.87579439252337,0.4700623052959502,200.49859813084112,,,204.68604938271605,,,59,47.57,109.48
Ludhiana,2019,53.15835164835165,106.44641095890411,21.657506925207755,18.283573407202216,36.49936639118457,33.879063360881545,9.236094674556213,0.10390624999999999,21.145939226519335,2.510191780821918,3.4806301369863015,,,,,,69.9751506849315,0.4568767123287671,198.0261917808219,,,226.12558904109588,,,185,47.57,109.48
Ludhiana,2020,45.11013661202186,98.32045317220543,13.322202898550724,23.716782608695652,35.65576811594203,19.21913043478261,7.094972677595629,0.4139890710382514,30.488661202185792,1.508606557377049,6.857704918032787,,,,,,69.74448087431693,0.4568852459016393,204.87674863387977,,,220.0909836065574,,,287,47.57,109.48
